id;statement;index;correct_option_index
ea641920-1492-4cfd-b8ef-e0f58d5d9dc2;within negative optimistically;28628;24812
598d3310-fa70-4409-89b9-c48b7601774f;slimy;16279;21753
bcd7a793-9ca3-4a9d-b17d-3398b2eb0632;yowza despite;424;4295
18e34482-c212-471f-afc4-a379df6d2a76;comfortable plastic;25644;122
da5f341e-4192-45a7-b78d-db632c9da839;woot mall somber;12478;17402
b5c3205c-8f1a-4b1d-8cf4-6c666b2a696e;yuck before phooey;1344;6943
04dbc084-2ff5-4b6b-a85b-e9b451c050b1;midst;26543;17509
f93b1eac-c3ad-482d-be17-d4e22032e697;about amidst;26820;13970
912bd3f8-1854-466c-a48a-b00298ce09d1;atop;11452;27926
a7aaddd5-4777-40b7-84aa-f4844d3df566;hm;9211;24364
