id;title;description;difficulty;category;published;question_order;max_answer_time;rollback_allowed;user_id
7bf9fa79-5b46-4bb0-bb38-298bf9bd036b;where potentially;filter afore instrumentation;EASY;SCIENCE_NATURE;true;FIXED;19353;true;1
0dcef665-5080-48b6-97d1-2084adbea6da;veterinarian including divert;bah aha tricky;EASY;GEOGRAPHY;true;FIXED;10308;true;2
d75356be-f381-4139-9a26-9888d2a65a3e;flaunt;whenever um;EASY;MUSIC;true;FIXED;25974;false;2
b1c555bc-ca58-471f-bba9-78cfd70a5d7a;economy average;cumbersome;EASY;HISTORY;true;FIXED;27669;false;2
b47eb570-f707-408c-a72a-2b0f6a3ebcf2;audience channel golden;worth than;MEDIUM;GEOGRAPHY;true;FIXED;10538;false;2
a80f2877-3dba-4f70-8713-efc9b58123ec;size so overstep;urgently;EASY;ART;true;FIXED;17111;true;2
ab61d87b-4069-4e02-b122-c3cf2afb4018;what bathrobe qua;woozy notwithstanding;MEDIUM;ANIME_MANGA;true;RANDOM;1873;true;2
4cdffb12-81b4-4e2a-8873-7a965bedca8d;below till cockpit;for;MEDIUM;CELEBRITIES;false;FIXED;31075;true;2
22defeb2-a226-4929-a569-b9229e672eeb;blot humming;what promptly;MEDIUM;ANIME_MANGA;false;FIXED;331;true;2
4735436d-1065-403b-9b34-5e05b1cde5fa;above broadly;how after;EASY;MUSIC;false;FIXED;20145;false;1
